trial,period_days
765,40.57178376106833
766,40.57179069812503
767,40.57174603559656
768,40.571855075136
769,40.57178081601387
770,40.57178722165975
771,40.57174380410322
772,40.57188948721216
773,40.57167113628623
774,40.57168521668848
775,40.57176104575046
776,40.571683230955614
777,40.571610105523405
778,40.571727040074734
779,40.57166937946397
780,40.57179351422451
781,40.57180792910549
782,40.57169459244653
783,40.57174895092237
784,40.57181031378127
785,40.571691068914106
786,40.57180863646602
787,40.57168980590359
788,40.571731614203486
789,40.57173713684722
790,40.57168696691713
791,40.57170393759452
792,40.57167712157445
793,40.57169582178551
794,40.57172541986597
795,40.57168911151075
796,40.571680145659
797,40.57172356072181
798,40.57171924366344
799,40.5717103396546
800,40.571782897216394
801,40.571743989788615
802,40.571762020407505
803,40.57174071792747
804,40.571701443897155
805,40.57169638112782
806,40.57200831716261
807,40.57181927469128
808,40.57177979864298
809,40.57171130612289
810,40.571694769776855
811,40.571647764923455
812,40.57170539224683
813,40.571745350795936
814,40.57174026300709
815,40.57170866524632
816,40.57177560223295
817,40.57165682198422
818,40.571768295339666
819,40.571630332658174
820,40.571708506212076
821,40.57178747389651
822,40.57173327153009
823,40.571691335293394
824,40.5716089036365
825,40.57171668000444
826,40.571732904422106
827,40.571736725064966
828,40.57165513101734
829,40.5717275007371
830,40.571835985992266
831,40.571735379930374
832,40.571729712130605
833,40.5716993771274
834,40.5717150090361
835,40.57177961396508
836,40.5717837819966
837,40.57170786791846
838,40.57163779379778
839,40.571644621264454
840,40.5717947747047
841,40.57180076104885
842,40.57180791532926
843,40.57171464943792
844,40.57168490338404
845,40.571815453659724
846,40.5717522076078
847,40.57174818236956
848,40.57167786205605
849,40.57176753900569
850,40.57173194248901
851,40.57174505230148
852,40.571685500753574
853,40.571657883578496
854,40.57178295208814
855,40.57183036590584
856,40.57170292102853
857,40.571634647789324
858,40.57177697802297
859,40.57165798914912
860,40.571793400093384
861,40.57177902652904
862,40.57169238916981
863,40.57164485149019
864,40.571736754457675
865,40.571746340195205
866,40.5718583230348
867,40.57182428404076
868,40.57165035246055
869,40.57177557818363
870,40.57179078919012
871,40.571638841993604
872,40.57171112222045
873,40.57173231796344
874,40.57167558019762
875,40.57188290903275
876,40.57166912987827
877,40.57168707312201
878,40.57177315575734
879,40.57172666902909
880,40.571736352046514
881,40.57171911635305
882,40.57174614052258
883,40.571677967396
884,40.57178820452384
885,40.57175286424467
886,40.57171569301079
887,40.57179323246214
888,40.57173432834111
889,40.57166066998877
890,40.57155937313814
891,40.57178372631131
892,40.57174711254311
893,40.57161465603781
894,40.571834062787616
895,40.57178010140797
896,40.57163109442547
897,40.57173084546821
898,40.57174729330961
899,40.57167816417609
900,40.57154178288579
901,40.571806597047384
902,40.571686585826455
903,40.57164394176607
904,40.571843780028644
905,40.57179693979231
906,40.571716093159125
907,40.571744972307556
908,40.57173291901961
909,40.57170752817888
910,40.57166209219099
911,40.57169003659669
912,40.57172273006529
913,40.571748786040075
914,40.57161993330851
915,40.571779261039524
916,40.57178633983858
917,40.571703833283095
918,40.571697403178405
919,40.571767927013866
920,40.57175245707947
921,40.57174323235347
922,40.571656058736494
923,40.57171617929214
924,40.57172539392377
925,40.57173771998623
926,40.57173912589883
927,40.5717356806241
928,40.57173241335056
929,40.57173565693313
930,40.57181591932283
931,40.57179974024507
932,40.5717339746717
933,40.57165356681935
934,40.571680188170035
935,40.57190799904606
936,40.57172515122818
937,40.57173737603546
938,40.57181201251194
939,40.57168037204178
940,40.57174922144554
941,40.571808740302345
942,40.57166318972497
943,40.57175354689821
944,40.571716308776104
945,40.57166960088466
946,40.57168160265496
947,40.571708483114094
948,40.571636769310544
949,40.57167709060502
950,40.571681332102685
951,40.57175097704874
952,40.57171834179451
953,40.57169362551974
954,40.57168390272193
955,40.57179947047109
956,40.571651255131655
957,40.571710018472345
958,40.571660327927134
959,40.57169964877744
960,40.57180480696172
961,40.571784944863
962,40.57175942630306
963,40.57170477728346
964,40.571682916943814
965,40.571897393982454
966,40.57179100499184
967,40.57175727141032
968,40.57175330063035
969,40.57170232819715
